Abs,Equipment,,,,Legs,,,,,Arms,,,,,Chest,,,,,Shoulders,,,,,Back,,,,Hips/Glutes,,,,Legs + Biceps,,
Wood chop,Cable tower,,,,,,,,,Reverse-grip cable pushdown ,"Cable tower, short bar",103,,,,,,,,,,,,,,,,,,,,,,,
Sit-ups,,,,,,,,,,Reverse Dip,Bench,104,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Barbell Forearm Curl,"Bench, bar",104,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Cable forearm curl,"Cable tower, bench",105,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dumbbell Forearm Curl,,106,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Band forearm curl,"Bench, band",106,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Barbell Reverse Forearm Curl,,107,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Cable reverse forearm curl,"Cable tower, bench",108,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dumbbell Reverse Forearm Curl,,108,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Band reverse forearm curl,"Bench, band",109,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Reverse Wrist Raise,Dumbbell,110,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Wrist Raise,Dumbbell ,110,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Wrist roller,String,111,,,,,,,,,,,,,,,,,,,,,,,
